GameId,Week,Date,Away,Home,AwayScore,HomeScore,Spread,Winner,Underdog
W1-01,1,2026-09-09,Patriots,Seahawks,10,13,3.5,A,A
W1-02,1,2026-09-10,49ers,Rams,27,7,3.5,H,H
W1-03,1,2026-09-13,Buccaneers,Bengals,27,33,3.5,H,A
W1-04,1,2026-09-13,Saints,Lions,30,31,7.5,A,A
W1-05,1,2026-09-13,Jets,Titans,23,10,1.5,H,A
W1-06,1,2026-09-13,Ravens,Colts,41,23,3.5,H,H
W1-07,1,2026-09-13,Falcons,Steelers,13,20,3.5,H,A
W1-08,1,2026-09-13,Bears,Panthers,59,37,2.5,H,A
W1-09,1,2026-09-13,Browns,Jaguars,10,34,7.5,H,A
W1-10,1,2026-09-13,Bills,Texans,36,31,1.5,H,H
W1-11,1,2026-09-13,Dolphins,Raiders,13,27,3.5,H,A
W1-12,1,2026-09-13,Packers,Vikings,22,39,1.5,H,H
W1-13,1,2026-09-13,Commanders,Eagles,22,24,4.5,A,A
W1-14,1,2026-09-13,Cardinals,Chargers,26,14,10.5,A,A
W1-15,1,2026-09-13,Cowboys,Giants,20,28,2.5,A,A
W1-16,1,2026-09-14,Broncos,Chiefs,0,0,3.5,H or A,A
