GameId,Week,Date,Away,Home,AwayScore,HomeScore,Spread,Winner,Underdog
W3-01,3,2026-09-24,Falcons,Packers,0,0,7.5,H or A,H
W3-02,3,2026-09-27,Panthers,Browns,0,0,3.5,H or A,A
W3-03,3,2026-09-27,Bengals,Steelers,0,0,3.5,H or A,A
W3-04,3,2026-09-27,Chargers,Bills,0,0,7.5,H or A,H
W3-05,3,2026-09-27,Jets,Lions,0,0,6.5,H or A,H
W3-06,3,2026-09-27,Ravens,Cowboys,0,0,3.5,H or A,A
W3-07,3,2026-09-27,Vikings,Buccaneers,0,0,1.5,H or A,A
W3-08,3,2026-09-27,Titans,Giants,0,0,6.5,H or A,H
W3-09,3,2026-09-27,Patriots,Jaguars,0,0,3.5,H or A,H
W3-10,3,2026-09-27,Texans,Colts,0,0,2.5,H or A,A
W3-11,3,2026-09-27,Raiders,Saints,0,0,3.5,H or A,H
W3-12,3,2026-09-27,Cardinals,49ers,0,0,11.5,H or A,H
W3-13,3,2026-09-27,Seahawks,Commanders,0,0,5.5,H or A,A
W3-14,3,2026-09-27,Rams,Broncos,0,0,2.5,H or A,A
W3-15,3,2026-09-27,Dolphins,Chiefs,0,0,11.5,H or A,A
W3-16,3,2026-09-28,Eagles,Bears,0,0,3.5,H or A,A
